epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7875,2.48963,4.63615,2.33027,0.00042,0.0146,0.00021,3e-05,3.76829,4.68266,2.55199,0,0,0
2,84.4623,2.45217,4.43373,2.2913,0.00042,0.0146,0.00021,3e-05,3.75422,4.67318,2.54019,9.75773e-06,9.75773e-06,9.75773e-06
